breadth,stop_atr,target_atr,hold,trades_train,return_train,win_train,pf_train,dd_train,final_train,trades_oos,return_oos,win_oos,pf_oos,dd_oos,final_oos
0.5,2.0,3.5,12,21,0.21525814269139953,0.8571428571428571,8.210651743329523,-0.030883723321327466,121525814.26913996,28,0.18816645364394247,0.7142857142857143,3.231449285071818,-0.04051245748473347,118816645.36439425
0.46,1.75,3.5,12,22,0.2684712283494184,0.8181818181818182,7.835526058874104,-0.02352321939352113,126847122.83494183,26,0.18603281879463363,0.7307692307692307,3.3277041418123936,-0.047786346134091856,118603281.87946336
0.5,1.75,3.5,12,22,0.26028059217941846,0.8181818181818182,7.132665686787534,-0.02363156742049844,126028059.21794184,26,0.18603281879463363,0.7307692307692307,3.3277041418123936,-0.047786346134091856,118603281.87946336
0.42,2.0,3.5,12,21,0.19956657633139963,0.8095238095238095,6.4518329824827605,-0.03846506389031481,119956657.63313997,28,0.16927302572862102,0.6785714285714286,2.9993627177961537,-0.045058240056387124,116927302.5728621
0.46,2.0,3.5,12,21,0.19956657633139963,0.8095238095238095,6.4518329824827605,-0.03846506389031481,119956657.63313997,27,0.1790509642886211,0.7037037037037037,3.390994798458992,-0.04051245748473347,117905096.42886211
0.5,1.25,3.5,10,22,0.2963390405028816,0.7727272727272727,6.197836636551256,-0.037906201411876436,129633904.05028817,31,0.1851253016730896,0.6129032258064516,2.447949835213344,-0.04558888973942442,118512530.16730897
0.5,1.25,3.5,12,22,0.2963390405028816,0.7727272727272727,6.197836636551256,-0.037906201411876436,129633904.05028817,28,0.2040077176809263,0.6071428571428571,2.8963054320429285,-0.050195323659249044,120400771.76809263
0.46,1.25,3.5,10,22,0.30072565915759264,0.7727272727272727,6.157434233006899,-0.035430874830039656,130072565.91575927,30,0.1975305876805875,0.6333333333333333,2.6938117725763187,-0.04872024217527364,119753058.76805876
0.46,1.25,3.5,12,22,0.30072565915759264,0.7727272727272727,6.157434233006899,-0.035430874830039656,130072565.91575927,27,0.1842068139569435,0.6296296296296297,2.7215032136938944,-0.04558888973942442,118420681.39569435
0.42,1.75,3.5,12,23,0.24953535203026567,0.782608695652174,5.704373318049851,-0.02352321939352113,124953535.20302656,27,0.1749544712546336,0.7037037037037037,2.922586978482126,-0.047786346134091856,117495447.12546337
0.46,1.5,3.5,10,22,0.28087885664322143,0.7727272727272727,5.399894703176192,-0.03377441939403841,128087885.66432215,28,0.1882790489880104,0.6785714285714286,2.977594884843904,-0.05149063337563827,118827904.89880104
0.46,1.5,3.5,12,22,0.28087885664322143,0.7727272727272727,5.399894703176192,-0.03377441939403841,128087885.66432215,28,0.21550163327039962,0.6785714285714286,3.0026563296909368,-0.04879651518398158,121550163.32703997
0.5,1.5,3.5,10,22,0.2752569057284373,0.7727272727272727,5.334842165509116,-0.035203838915022,127525690.57284373,30,0.15202216431130955,0.6333333333333333,2.169812763202944,-0.05237620039362885,115202216.43113096
0.5,1.5,3.5,12,22,0.2752569057284373,0.7727272727272727,5.334842165509116,-0.035203838915022,127525690.57284373,28,0.21550163327039962,0.6785714285714286,3.0026563296909368,-0.04879651518398158,121550163.32703997
0.42,1.25,4.0,10,22,0.2970113943929582,0.7272727272727273,5.2933406736750985,-0.02793175195062055,129701139.43929581,34,0.27162990395761266,0.5588235294117647,2.821180846157138,-0.04558888973942442,127162990.39576127
0.46,1.25,4.0,10,22,0.2970113943929582,0.7272727272727273,5.2933406736750985,-0.02793175195062055,129701139.43929581,30,0.280106101931374,0.6333333333333333,3.4379222642745764,-0.04558888973942442,128010610.1931374
0.46,2.0,3.5,10,22,0.2013956133540149,0.7727272727272727,5.256705334225087,-0.022288852101497225,120139561.33540149,29,0.22685030824807417,0.7586206896551724,4.262688380135629,-0.04051245748473347,122685030.82480742
0.5,1.25,4.0,10,22,0.28536643361998704,0.7272727272727273,5.209275557038508,-0.02793175195062055,128536643.3619987,30,0.20161543441592156,0.5666666666666667,2.496180916328157,-0.04558888973942442,120161543.44159216
0.5,1.25,4.0,12,21,0.27916395768759195,0.7142857142857143,5.116872986249523,-0.02793175195062055,127916395.76875919,31,0.13936709713453,0.45161290322580644,1.8040151826561983,-0.06134895785922227,113936709.713453
0.42,1.25,3.5,10,23,0.2825131256417004,0.7391304347826086,4.995676977782262,-0.036006779476871247,128251312.56417003,32,0.17864129467363243,0.59375,2.312548877137794,-0.045818060400209845,117864129.46736324
0.42,1.25,3.5,12,23,0.2825131256417004,0.7391304347826086,4.995676977782262,-0.036006779476871247,128251312.56417003,28,0.19377670298615945,0.6071428571428571,2.6201205649708292,-0.05037175583495787,119377670.29861595
0.42,1.25,4.0,12,21,0.2832377639085062,0.7142857142857143,5.093598580131312,-0.02793175195062055,128323776.39085062,32,0.1960544030788871,0.5,2.1388564933496585,-0.04674468496454435,119605440.3078887
0.46,1.25,4.0,12,21,0.2832377639085062,0.7142857142857143,5.093598580131312,-0.02793175195062055,128323776.39085062,31,0.2147376129942773,0.5161290322580645,2.3849720938153425,-0.04558888973942442,121473761.29942773
0.5,2.0,4.0,12,18,0.17571675855721214,0.7777777777777778,5.178366031731595,-0.021869437645268067,117571675.85572122,25,0.11087381543339059,0.6,2.2198174425218893,-0.04298370484411201,111087381.54333906
0.5,2.0,3.5,10,22,0.19460665433401503,0.7727272727272727,4.898534147192689,-0.022288852101497225,119460665.4334015,29,0.15118377199124344,0.6551724137931034,2.4020809902601328,-0.04051245748473347,115118377.19912435
0.5,1.75,3.5,10,21,0.2034629989475205,0.7619047619047619,4.706910876861682,-0.025062051539403784,120346299.89475204,28,0.17631039824565176,0.7142857142857143,2.9025601028509094,-0.047786346134091856,117631039.82456517
0.42,1.5,4.0,10,22,0.2748106695812178,0.7272727272727273,4.598353127704383,-0.027502223728196832,127481066.95812178,31,0.23705032385236802,0.6129032258064516,2.633791874442437,-0.052736303887722095,123705032.3852368
0.46,1.5,4.0,10,22,0.2748106695812178,0.7272727272727273,4.598353127704383,-0.027502223728196832,127481066.95812178,29,0.196151226813418,0.6206896551724138,2.4891813712045514,-0.05565201935413624,119615122.6813418
0.5,1.5,4.0,10,22,0.26230860948632095,0.7272727272727273,4.455229619670219,-0.027502223728196832,126230860.94863209,29,0.196151226813418,0.6206896551724138,2.4891813712045514,-0.05565201935413624,119615122.6813418
0.46,2.0,3.0,12,22,0.1637649902728604,0.7727272727272727,4.421403854547228,-0.020439965779419294,116376499.02728604,32,0.22254026786754566,0.71875,3.229930185042038,-0.04051245748473347,122254026.78675456
0.42,1.5,3.5,10,23,0.26068644388268414,0.7391304347826086,4.345144766918283,-0.03516088855816788,126068644.38826841,29,0.17505467132801034,0.6551724137931034,2.6144419335186018,-0.052752463219544236,117505467.13280104
0.42,1.5,3.5,12,23,0.26068644388268414,0.7391304347826086,4.345144766918283,-0.03516088855816788,126068644.38826841,29,0.20088056450769098,0.6551724137931034,2.651565101548431,-0.04879651518398158,120088056.4507691
0.42,1.5,4.0,12,21,0.2623302319638754,0.7142857142857143,4.434362880140535,-0.027502223728196832,126233023.19638754,29,0.2573717499143411,0.6206896551724138,3.1033541544581253,-0.04879651518398158,125737174.99143411
0.46,1.5,4.0,12,21,0.2623302319638754,0.7142857142857143,4.434362880140535,-0.027502223728196832,126233023.19638754,28,0.18833039325660295,0.5714285714285714,2.4509763257518,-0.05306253541789839,118833039.32566029
0.5,1.5,4.0,12,21,0.2567714066565483,0.7142857142857143,4.38175759013496,-0.027502223728196832,125677140.66565484,28,0.18833039325660295,0.5714285714285714,2.4509763257518,-0.05306253541789839,118833039.32566029
