breadth,stop_atr,target_atr,hold,trades,return,win_rate,pf,dd,final,score
0.5,2.0,3.5,12,47,0.4946210298463214,0.7659574468085106,5.177745263995905,-0.04293753225857901,149462102.98463213,21.22243119204108
0.46,2.0,3.5,12,46,0.4429961951995365,0.7391304347826086,4.757264535738073,-0.05380167534283183,144299619.51995364,19.482110022219544
0.46,1.75,3.5,12,46,0.481836036087262,0.7391304347826086,4.506988678923938,-0.08474678292703111,148183603.6087262,18.50437388205863
0.5,1.75,3.5,12,47,0.5032370646313902,0.7446808510638298,4.476512405945539,-0.07125267413995402,150323706.46313903,18.410894393896758
0.42,2.0,3.5,12,47,0.4310295901595367,0.723404255319149,4.318917895313827,-0.05380167534283183,143102959.01595366,17.715970546509386
0.46,2.0,3.5,10,51,0.4610655506974424,0.7450980392156863,4.294901194498436,-0.06717189041047918,146106555.06974423,17.644339285446733
0.42,1.75,3.5,12,48,0.49000709097346373,0.7291666666666666,4.102504891873746,-0.06646736570143055,149000709.09734637,16.903251308951067
0.38,1.75,3.5,12,55,0.5561182308206687,0.7090909090909091,4.068802209013044,-0.06896791282374236,155611823.08206686,16.832297655915518
0.46,1.25,4.0,10,53,0.6594649057951074,0.660377358490566,3.8990159237791637,-0.06543594527439683,165946490.57951075,16.255829496199095
0.42,2.0,3.5,10,53,0.4618188119282156,0.7169811320754716,3.9444542570771306,-0.05900492930265537,146181881.19282156,16.245982432189184
0.5,1.25,3.5,12,50,0.5687915129246595,0.66,3.770924366245621,-0.06550434455013296,156879151.29246596,15.652736805632077
0.5,1.5,3.5,12,50,0.5556360273524701,0.7,3.647553682841059,-0.07196363916463386,155563602.73524702,15.14486893913439
0.42,1.75,3.5,10,51,0.4369169783909932,0.6862745098039216,3.594863623555567,-0.06802145246806533,143691697.83909932,14.816674471869424
0.5,1.25,3.5,10,53,0.5763487345831844,0.6792452830188679,3.540862084291797,-0.04470081739610867,157634873.45831844,14.751408927203261
0.5,1.75,3.5,10,49,0.43926997779150523,0.7142857142857143,3.5615389402452946,-0.06168729832558004,143926997.77915052,14.69029637532418
0.46,1.75,3.5,10,49,0.4139788376870954,0.6938775510204082,3.5449018606327396,-0.07901760723058997,141397883.76870954,14.58877135415378
0.38,1.25,4.0,10,60,0.6228463032476896,0.6333333333333333,3.4925678608955137,-0.08373654086389745,162284630.32476896,14.582916143064462
0.5,1.25,4.0,10,52,0.6095437993339556,0.6346153846153846,3.4615892190564868,-0.0341751244901932,160954379.93339556,14.470543882545575
0.38,2.0,3.5,12,53,0.4193026024671038,0.7169811320754716,3.5089720490989653,-0.06308038341107511,141930260.2467104,14.4594996637612
0.42,1.25,4.0,10,57,0.6484086292002258,0.6140350877192983,3.3847746139286685,-0.06543594527439683,164840862.92002258,14.185490866663667
